sysselsättning,födelseregion,ålder,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
förvärvsarbetande,Afrika,16-19 år,71,64,101,133,149,128,162,186,220,250,267,325,458
förvärvsarbetande,Afrika,20-24 år,315,429,691,983,1174,1056,1339,1371,1516,1743,1994,2365,2684
förvärvsarbetande,Afrika,25-34 år,1483,1961,2909,3975,4963,5260,6468,7038,7093,7083,7198,7168,7448
förvärvsarbetande,Afrika,35-44 år,758,1118,1641,2359,3221,3776,4943,5957,6687,7451,8287,9222,10047
förvärvsarbetande,Afrika,45-54 år,173,245,409,564,772,953,1309,1691,2044,2502,3095,3749,4426
förvärvsarbetande,Afrika,55-59 år,28,47,71,107,115,118,142,182,216,279,357,505,626
förvärvsarbetande,Afrika,60-64 år,9,10,19,37,39,61,73,114,121,120,135,165,219
förvärvsarbetande,Afrika,65+ år,3,6,4,3,10,14,12,24,33,46,50,64,69
förvärvsarbetande,Afrika,16-19 år,0,0,0,0,0,0,6,32,67,115,164,296,640
förvärvsarbetande,Afrika,20-24 år,0,0,0,0,0,0,72,246,497,759,1129,1781,2875
förvärvsarbetande,Afrika,25-34 år,0,0,0,0,0,0,306,1250,2404,3837,5406,7349,10521
förvärvsarbetande,Afrika,35-44 år,0,0,0,0,0,0,146,577,1175,2027,3179,4594,6742
förvärvsarbetande,Afrika,45-54 år,0,0,0,0,0,0,37,139,299,573,915,1412,2188
förvärvsarbetande,Afrika,55-59 år,0,0,0,0,0,0,8,26,59,70,118,184,301
förvärvsarbetande,Afrika,60-64 år,0,0,0,0,0,0,1,9,16,24,44,79,118
förvärvsarbetande,Afrika,65+ år,0,0,0,0,0,0,3,4,5,12,13,18,37
förvärvsarbetande,Asien,16-19 år,287,317,446,608,785,781,933,986,1076,1178,1188,1425,2081
förvärvsarbetande,Asien,20-24 år,1331,1619,2416,3416,4089,3912,4837,4977,5393,5980,6634,7662,8640
förvärvsarbetande,Asien,25-34 år,5007,6617,9345,12904,16736,17938,21412,23545,24006,23610,23417,23601,24217
förvärvsarbetande,Asien,35-44 år,2892,4213,6228,8718,11720,13539,16736,19592,21778,24000,26293,28420,30944
förvärvsarbetande,Asien,45-54 år,861,1355,2035,3035,4115,4889,6269,7859,9203,10835,12807,14617,16937
förvärvsarbetande,Asien,55-59 år,79,121,217,334,424,557,786,1023,1358,1694,2050,2632,3309
förvärvsarbetande,Asien,60-64 år,28,33,58,87,122,149,216,302,392,493,680,893,1193
förvärvsarbetande,Asien,65+ år,7,13,17,19,22,39,42,61,88,106,118,150,203
förvärvsarbetande,Asien,16-19 år,0,0,0,0,0,0,54,143,259,523,726,1112,1812
förvärvsarbetande,Asien,20-24 år,0,0,0,0,0,0,342,1037,1576,2162,3196,5229,8613
förvärvsarbetande,Asien,25-34 år,0,0,0,0,0,0,1414,4464,8173,12322,16465,20999,27904
förvärvsarbetande,Asien,35-44 år,0,0,0,0,0,0,643,2227,3939,6175,9023,12665,18622
förvärvsarbetande,Asien,45-54 år,0,0,0,0,0,0,188,646,1245,2039,3063,4537,7048
förvärvsarbetande,Asien,55-59 år,0,0,0,0,0,0,23,90,181,281,483,708,1090
förvärvsarbetande,Asien,60-64 år,0,0,0,0,0,0,7,41,80,108,153,255,397
förvärvsarbetande,Asien,65+ år,0,0,0,0,0,0,2,9,25,41,63,87,116
förvärvsarbetande,Europa exkl Norden,16-19 år,247,280,399,519,657,622,692,662,753,872,907,1135,1463
förvärvsarbetande,Europa exkl Norden,20-24 år,1945,2323,3264,4230,4694,4189,4582,4222,3923,3807,3904,4338,4894
förvärvsarbetande,Europa exkl Norden,25-34 år,9803,12865,17432,22850,27716,28439,30528,30316,28770,26700,24358,22253,20167
förvärvsarbetande,Europa exkl Norden,35-44 år,5552,7470,10567,14278,18316,20402,23659,26478,28630,30587,32723,34464,36092
förvärvsarbetande,Europa exkl Norden,45-54 år,2038,2938,4281,5951,7811,8639,10324,11699,12791,13989,15339,16857,18374
förvärvsarbetande,Europa exkl Norden,55-59 år,336,503,722,986,1219,1441,1839,2286,2650,3023,3378,3831,4319
förvärvsarbetande,Europa exkl Norden,60-64 år,121,151,250,351,441,553,756,871,1016,1181,1403,1734,2080
förvärvsarbetande,Europa exkl Norden,65+ år,18,31,43,62,86,114,145,230,292,362,393,481,531
förvärvsarbetande,Europa exkl Norden,16-19 år,0,0,0,0,0,0,82,155,192,275,341,534,786
förvärvsarbetande,Europa exkl Norden,20-24 år,0,0,0,0,0,0,785,1949,2968,3502,4168,5136,5964
förvärvsarbetande,Europa exkl Norden,25-34 år,0,0,0,0,0,0,2554,7668,13008,18419,24540,30838,37724
förvärvsarbetande,Europa exkl Norden,35-44 år,0,0,0,0,0,0,1226,3905,6916,10424,14716,19461,25152
förvärvsarbetande,Europa exkl Norden,45-54 år,0,0,0,0,0,0,520,1539,2737,4213,5905,7815,10466
förvärvsarbetande,Europa exkl Norden,55-59 år,0,0,0,0,0,0,78,239,473,755,1051,1529,2029
förvärvsarbetande,Europa exkl Norden,60-64 år,0,0,0,0,0,0,41,108,182,271,426,591,780
förvärvsarbetande,Europa exkl Norden,65+ år,0,0,0,0,0,0,8,29,55,99,145,189,245
förvärvsarbetande,Nord- och Mellanamerika,16-19 år,16,22,23,30,31,26,36,36,40,49,50,65,71
förvärvsarbetande,Nord- och Mellanamerika,20-24 år,122,126,151,184,209,219,217,204,193,203,197,213,238
förvärvsarbetande,Nord- och Mellanamerika,25-34 år,883,997,1189,1457,1671,1691,1788,1753,1599,1438,1253,1119,995
förvärvsarbetande,Nord- och Mellanamerika,35-44 år,549,708,923,1105,1368,1466,1609,1756,1812,1861,1961,2043,2046
förvärvsarbetande,Nord- och Mellanamerika,45-54 år,195,254,329,425,521,614,715,804,855,948,1033,1127,1272
förvärvsarbetande,Nord- och Mellanamerika,55-59 år,30,41,54,75,98,119,130,146,169,178,196,207,226
förvärvsarbetande,Nord- och Mellanamerika,60-64 år,16,23,28,30,45,51,59,65,80,88,107,115,128
förvärvsarbetande,Nord- och Mellanamerika,65+ år,5,4,5,9,12,18,17,32,36,37,41,51,59
förvärvsarbetande,Nord- och Mellanamerika,16-19 år,0,0,0,0,0,0,2,10,9,16,18,31,47
